filed,ticker,cik,form,doc_kind,items,accession,exhibit,text_path,text_chars,recorded_at
2026-02-26,MPC,1510295,10-K,business,1,0001510295-26-000009-business,,text/MPC/0001510295-26-000009-business.txt,26000,2026-09-12T23:04:50+00:00
2026-02-26,MPC,1510295,10-K,risk_factors,1A,0001510295-26-000009-risk_factors,,text/MPC/0001510295-26-000009-risk_factors.txt,42000,2026-09-12T23:04:50+00:00
2026-08-04,MPC,1510295,10-Q,segment_note,Segment Information,0001510295-26-000061,,text/MPC/0001510295-26-000061-segment.txt,14308,2026-09-12T23:04:50+00:00
2026-02-25,CF,1324404,10-K,business,1,0001324404-26-000007-business,,text/CF/0001324404-26-000007-business.txt,26000,2026-09-12T23:04:50+00:00
2026-02-25,CF,1324404,10-K,risk_factors,1A,0001324404-26-000007-risk_factors,,text/CF/0001324404-26-000007-risk_factors.txt,41999,2026-09-12T23:04:50+00:00
2026-08-06,CF,1324404,10-Q,segment_note,Segment Disclosures,0001324404-26-000019,,text/CF/0001324404-26-000019-segment.txt,13474,2026-09-12T23:04:50+00:00
2025-10-31,AAPL,320193,10-K,business,1,0000320193-25-000079-business,,text/AAPL/0000320193-25-000079-business.txt,16050,2026-09-12T23:04:50+00:00
2025-10-31,AAPL,320193,10-K,risk_factors,1A,0000320193-25-000079-risk_factors,,text/AAPL/0000320193-25-000079-risk_factors.txt,42000,2026-09-12T23:04:50+00:00
2026-07-31,AAPL,320193,10-Q,segment_note,Segment Information,0000320193-26-000020,,text/AAPL/0000320193-26-000020-segment.txt,9193,2026-09-12T23:04:50+00:00
2026-02-20,KO,21344,10-K,business,1,0001628280-26-010047-business,,text/KO/0001628280-26-010047-business.txt,26000,2026-09-12T23:04:50+00:00
2026-02-20,KO,21344,10-K,risk_factors,1A,0001628280-26-010047-risk_factors,,text/KO/0001628280-26-010047-risk_factors.txt,42000,2026-09-12T23:04:50+00:00
2026-07-29,KO,21344,10-Q,segment_note,OPERATING SEGMENTS,0001628280-26-050503,,text/KO/0001628280-26-050503-segment.txt,10631,2026-09-12T23:04:50+00:00
2026-02-13,JPM,19617,10-K,business,1,0001628280-26-008131-business,,text/JPM/0001628280-26-008131-business.txt,25999,2026-09-12T23:04:50+00:00
2026-02-13,JPM,19617,10-K,risk_factors,1A,0001628280-26-008131-risk_factors,,text/JPM/0001628280-26-008131-risk_factors.txt,42000,2026-09-12T23:04:50+00:00
2026-08-06,JPM,19617,10-Q,segment_note,Business Segments & Corporate,0001628280-26-054343,,text/JPM/0001628280-26-054343-segment.txt,16340,2026-09-12T23:04:50+00:00
2026-02-27,YELP,1345016,10-K,business,1,0001345016-26-000019-business,,text/YELP/0001345016-26-000019-business.txt,26000,2026-09-12T23:04:50+00:00
2026-02-27,YELP,1345016,10-K,risk_factors,1A,0001345016-26-000019-risk_factors,,text/YELP/0001345016-26-000019-risk_factors.txt,42000,2026-09-12T23:04:50+00:00
