ticker,cik,fy_end,start_fy_end,annual_form,revenue,start_revenue,net_income,start_net_income,shares_diluted,start_shares_diluted,ocf,sales_ps_growth_3y,eps_growth_3y,note,collected_at
ASML,937966,,,20-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
CCG,1965473,,,20-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
LAWR,2007599,,,20-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
WSHP,2048271,,,20-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
YYAI,1674440,2026-04-30,2023-04-30,10-K,25807289,9922799,-17560520,-71153685,23329,13994,-20855471,,,diluted share count jumps 829.70x in 2024,2026-09-24T19:09:47-04:00
CNI,16868,,,6-K,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
EMA,1127248,,,40-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
FTS,1666175,,,40-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
HMC,715153,,,20-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
LGPS,2040290,,,20-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
MFG,1335730,,,20-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
MUFG,67088,,,20-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
NOA,1368519,,,40-F,,,,,,,,,,no annual 10-K periods,2026-09-24T19:09:47-04:00
