date,ticker,name,sector,sub_industry,index,price,change_pct,market_cap,pe,volume,analyst_count,benford_mad,earnings_consistency,earnings_date,edgar_updated,eps_growth_yoy,ev_ebitda,ev_revenue,fcf_growth_yoy,fcf_yield,gross_margin,gross_margin_trend,high52w_proximity,insider_buyer_count_90d,insider_cluster_max_30d,insider_cluster_score,insider_net_buy_90d,insider_ownership,insider_seller_count_90d,insider_tx_count_90d,insider_updated,inst_ownership,last_updated,neglect_score,net_debt_ebitda,news_count_7d,news_lm_avg,news_vader_avg,op_margin_stability,operating_margin,price_book,rel_strength_sp500,return_12_2,return_1m,return_52w,revenue_acceleration,revenue_growth_yoy,roe_ttm,volume_trend
2026-09-03,MMM,3M,Industrials,Industrial Conglomerates,S&P 500,168.31,,86801244160,29.8422,3005739,17,0.0059,0.82044,2026-07-21,2026-09-03,0.328,14.598,3.761,-0.650014,0.073157,0.39408,,-0.089724,0,0,0,-4311551.11,0.00096,5,5,2026-09-03,0.76821,2026-09-03,0.411111,1.211005,4,0.5,0.575,0.023782,0.20354,29.404263,-0.09403,0.103953,-0.018883,0.085069,0.011826,0.025,0.81892,-0.250604
2026-09-03,AOS,A. O. Smith,Industrials,Building Products,S&P 500,60.53,2.1431,8226546176,16.493187,1333375,11,0.0111,0.916628,2026-07-30,2026-09-03,-0.15,11.13,2.292,1.483822,0.058908,0.38592,-0.006523,-0.260657,,,,,0.00462,,,,1.18082,2026-09-03,0.294444,0.632768,15,0.066667,0.041933,0.01392,0.18929,4.466499,-0.363296,-0.171158,-0.013038,-0.184196,0.012064,-0.007,0.27133,-0.234784
2026-09-03,ABT,Abbott Laboratories,Health Care,Health Care Equipment,S&P 500,108.79,-1.52078,188248408064,35.207123,5297460,25,0.0078,0.863699,2026-10-14,2026-09-03,-0.475,18.493,4.637,-0.313189,0.038296,0.56847,,-0.208742,0,0,0,-46850261.46,0.00495,3,4,2026-09-03,0.81846,2026-09-03,0.222222,2.321462,10,0,0.1334,0.020167,0.14707,3.683177,-0.34731,-0.217233,0.049023,-0.16821,0.008797,0.13,0.10576,-0.315475
2026-09-03,ABBV,AbbVie,Health Care,Biotechnology,S&P 500,260.21,,459821580288,74.1339,2878299,29,0.0029,0.591562,2026-07-31,2026-09-03,2.904,17.039,8.141,-0.199938,0.036689,0.72792,,-0.027143,0,0,0,-8177500,0.0011,1,1,2026-09-03,0.77394,2026-09-03,0.094444,2.090693,15,-0.2,0.133133,0.069118,0.40035,,0.049633,0.203095,0.025638,0.228732,-0.022733,0.102,,-0.356131
2026-09-03,ACN,Accenture,Information Technology,IT Consulting & Other Services,S&P 500,193.12,2.89855,118178250752,15.424919,5420176,25,0.0059,0.890904,2026-10-01,2026-09-03,0.09,9.117,1.614,-0.084732,0.102298,0.32013,,-0.336563,0,0,0,0,0.00036,0,0,2026-09-03,0.82532,2026-09-03,0.205556,-0.137734,11,-0.454545,-0.046909,0.015184,0.16964,3.705224,-0.442955,-0.476862,0.213006,-0.263856,-0.027263,0.056,0.24406,-0.46111
2026-09-03,ADBE,Adobe Inc.,Information Technology,Application Software,S&P 500,285.75,2.13017,113585627136,15.999439,3530423,34,0.0045,0.798207,2026-09-10,2026-09-03,0.079,11.824,4.565,0.457652,0.081158,0.89404,0.000594,-0.229494,0,0,0,-109961.28,0.00223,1,1,2026-09-03,0.87205,2026-09-03,0.083333,0.149142,15,0.133333,0.175867,0.063304,0.35328,9.898847,-0.37734,-0.361707,0.163467,-0.198241,0.007146,0.127,0.62954,-0.340634
2026-09-03,AMD,Advanced Micro Devices,Information Technology,Semiconductors,S&P 500,456.16,-19.6909,744669773824,116.36735,14826068,49,0.0041,0.599782,2026-08-04,2026-09-03,1.595,76.964,17.817,1.939015,0.011873,0.55724,,-0.219879,0,0,0,-45045752.81,0.00424,6,44,2026-09-03,0.75429,2026-09-03,0.083333,-0.92397,15,0.066667,0.0822,,0.1725,11.074264,1.645921,1.915694,-0.090674,1.82502,,0.501,0.10196,-0.433397
2026-09-03,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,S&P 500,14.78,-13.5138,10544623616,5.53558,9147096,8,0.0035,0.592006,2026-11-04,2026-09-03,9.511,12.166,3.793,,-0.292957,0.2027,0.043552,-0.162606,,,,,0.00576,,,2026-05-07,0.91357,2026-09-03,0.477778,7.63882,6,0,0.100833,,0.18673,2.132756,-0.034475,0.141666,0.002959,0.144625,0.111791,0.199,0.09574,0.104331
2026-09-03,AFL,Aflac,Financials,Life & Health Insurance,S&P 500,118.36,,59338993664,12.768068,2055178,15,0.0058,0.580319,2026-11-04,2026-09-03,0.468,10.978,3.685,,0.086827,0.50888,,-0.091077,0,0,0,-12073214.42,0.10934,1,13,2026-09-03,0.60276,2026-09-03,0.25,1.193899,15,0,0.058933,0.015118,0.25723,1.961161,-0.082681,0.122345,-0.025927,0.096418,-0.289324,-0.01,0.16908,-0.006723
2026-09-03,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,S&P 500,149.98,,42289233920,29.581852,2255846,20,0.0059,0.875608,2026-08-26,2026-09-03,0.085,21.478,6.06,1.454148,0.025074,0.53649,,-0.084092,0,0,0,0,0.00195,0,0,2026-09-03,0.95494,2026-09-03,0.194444,1.149038,15,-0.133333,0.091267,0.017366,0.25559,5.743499,-0.003255,0.117078,0.058767,0.175845,-0.019568,0.081,0.20971,0.348306
2026-09-03,APD,Air Products,Materials,Industrial Gases,S&P 500,304.22,-1.6901,67745394688,31.339148,721413,19,0.005,0.094347,2026-07-30,2026-09-03,,18.858,6.961,-4.684495,-0.022105,0.32056,,-0.033823,0,0,0,-824404.64,0.01895,1,1,2026-09-03,0.9325,2026-09-03,0.205556,3.71248,15,-0.333333,-0.292533,0.420491,0.25536,4.879465,-0.111515,0.05094,0.016644,0.067584,-0.041895,0.046,0.00023,-0.113491
