ticker,name,sector,sub_industry,index,first_seen,last_seen_in_index,status,dropped_on,security_type
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,S&P 500,2026-09-04,2026-09-25,active,,operating
AA,Alcoa,Materials,Aluminum,S&P 400,2026-09-04,2026-09-25,active,,operating
AAC,Ares Acquisition Corporation III Class A Ordinary Shares,,,NYSE,2026-09-04,2026-09-25,active,,spac
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,,,Nasdaq,2026-09-04,2026-09-25,active,,spac
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,,,Nasdaq,2026-09-04,2026-09-25,active,,spac
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,spac
AADX,"Applied Aerospace & Defense, Inc. Common Stock",,,NYSE,2026-09-04,2026-09-25,active,,operating
AAL,American Airlines Group,Industrials,Passenger Airlines,S&P 400,2026-09-04,2026-09-25,active,,operating
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,S&P 600,2026-09-04,2026-09-25,active,,operating
AAOI,"Applied Optoelectronics, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
AAON,AAON,Industrials,Building Products,S&P 400,2026-09-04,2026-09-25,active,,operating
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,S&P 600,2026-09-04,2026-09-25,active,,operating
AAPG,Ascentage Pharma Group International - American Depository Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,2026-09-04,2026-09-25,active,,operating
AARD,"Aardvark Therapeutics, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
AAT,American Assets Trust,Real Estate,Diversified REITs,S&P 600,2026-09-04,2026-09-25,active,,operating
AAUC,Allied Gold Corporation Common Shares,,,NYSE,2026-09-04,2026-09-25,active,,operating
AB,AllianceBernstein Holding L.P.  Units,,,NYSE,2026-09-04,2026-09-25,active,,lp
ABAT,American Battery Technology Company - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABBV,AbbVie,Health Care,Biotechnology,S&P 500,2026-09-04,2026-09-25,active,,operating
ABCB,Ameris Bancorp,Financials,Regional Banks,S&P 600,2026-09-04,2026-09-25,active,,operating
ABCL,AbCellera Biologics Inc. - Common Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABEO,Abeona Therapeutics Inc. - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,S&P 600,2026-09-04,2026-09-25,active,,operating
ABLV,Able View Global Inc. - Class B Ordinary Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,S&P 600,2026-09-04,2026-09-25,active,,operating
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,2026-09-04,2026-09-25,active,,operating
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABR,Arbor Realty Trust,Financials,Mortgage REITs,S&P 600,2026-09-04,2026-09-25,active,,operating
ABSI,Absci Corporation - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABT,Abbott Laboratories,Health Care,Health Care Equipment,S&P 500,2026-09-04,2026-09-25,active,,operating
ABTC,American Bitcoin Corp. - Class A Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABTS,Abits Group Inc - Ordinary Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABUS,Arbutus Biopharma Corporation - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABVC,"ABVC BioPharma, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ABX,"Abacus Global Management, Inc. Class A Common Stock",,,NYSE,2026-09-04,2026-09-25,active,,operating
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",,,NYSE,2026-09-04,2026-09-25,active,,debt
ACA,"Arcosa, Inc.",Industrials,Construction & Engineering,S&P 600,2026-09-04,2026-09-25,active,,operating
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,spac
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,S&P 600,2026-09-04,2026-09-25,active,,operating
ACB,Aurora Cannabis Inc. - Common Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACCO,Acco Brands Corporation Common Stock,,,NYSE,2026-09-04,2026-09-25,active,,operating
ACCS,ACCESS Newswire Inc. Common Stock,,,NYSE American,2026-09-04,2026-09-25,active,,operating
ACDC,ProFrac Holding Corp. - Class A Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACEL,"Accel Entertainment, Inc.",,,NYSE,2026-09-04,2026-09-25,active,,operating
ACET,"Adicet Bio, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACFN,"Acorn Energy, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,,,Nasdaq,2026-09-04,2026-09-25,active,,spac
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,S&P 500,2026-09-04,2026-09-25,active,,operating
ACH,"Accendra Health, Inc. Common Stock",,,NYSE,2026-09-04,2026-09-25,active,,operating
ACHC,Acadia Healthcare,Health Care,Health Care Facilities,S&P 600,2026-09-04,2026-09-25,active,,operating
ACHR,Archer Aviation Inc. Class A Common Stock,,,NYSE,2026-09-04,2026-09-25,active,,operating
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACI,Albertsons,Consumer Staples,Food Retail,S&P 400,2026-09-04,2026-09-25,active,,operating
ACIC,American Coastal Insurance Corporation - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACIU,AC Immune SA - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACIW,ACI Worldwide,Information Technology,Application Software,S&P 600,2026-09-04,2026-09-25,active,,operating
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Materials & Equipment,S&P 600,2026-09-04,2026-09-25,active,,operating
ACM,AECOM,Industrials,Construction & Engineering,S&P 400,2026-09-04,2026-09-25,active,,operating
ACMR,"ACM Research, Inc.",Information Technology,Semiconductor Materials & Equipment,S&P 600,2026-09-04,2026-09-25,active,,operating
ACN,Accenture,Information Technology,IT Consulting & Other Services,S&P 500,2026-09-04,2026-09-25,active,,operating
ACNB,ACNB Corporation - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACNT,Ascent Industries Co. - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACOG,Alpha Cognition Inc. - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACON,"Aclarion, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACP,abrdn Income Credit Strategies Fund Common Shares,,,NYSE,2026-09-04,2026-09-25,active,,cef
ACR,ACRES Commercial Realty Corp. Common Stock,,,NYSE,2026-09-04,2026-09-25,active,,operating
ACRE,Ares Commercial Real Estate Corporation Common Stock,,,NYSE,2026-09-04,2026-09-25,active,,operating
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,S&P 600,2026-09-04,2026-09-25,active,,operating
ACTG,Acacia Research Corporation - Common Stock,,,Nasdaq,2026-09-04,2026-09-25,active,,operating
ACU,Acme United Corporation. Common Stock,,,NYSE American,2026-09-04,2026-09-25,active,,operating
ACVA,ACV Auctions Inc. Class A Common Stock,,,NYSE,2026-09-04,2026-09-25,active,,operating
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",,,Nasdaq,2026-09-04,2026-09-25,active,,operating
